freq_hz,R1_dB,R2_dB,R3_dB,R4_dB,R5_dB,R6_dB
1.983365339268693006e+01,2.829008854755688063e+01,3.133606463760817107e+01,2.532255281574257921e+01,2.536428405716426582e+01,2.393699006230062309e+01,2.390538072127089464e+01
2.002810097496817221e+01,2.387147970440891243e+01,1.992913043799602235e+01,1.848183479568166732e+01,2.062375296381445011e+01,1.875108717416929949e+01,1.696166643533032214e+01
2.022254855724941791e+01,2.071094208848208140e+01,3.354133531489861753e+01,3.244919953290359160e+01,3.229686756916974844e+01,3.141862047811672554e+01,2.875721196433522664e+01
2.041699613953066006e+01,2.773288520083382735e+01,3.871672775131739286e+01,3.492609654218208703e+01,3.393224191430956438e+01,3.330915786352038310e+01,2.928896636790917540e+01
2.061144372181190576e+01,2.803901640132266593e+01,3.586954587109900672e+01,3.473262909762978268e+01,3.459018023926395102e+01,3.360976371004244356e+01,2.841432515577103146e+01
2.080589130409315146e+01,1.212313201442663768e+01,3.120352398206091493e+01,3.264789837904261560e+01,3.256852176728236259e+01,3.174317352651885216e+01,2.616175251503637966e+01
2.100033888637439361e+01,2.136026145150215427e+01,3.330865253440029505e+01,3.252156581259377077e+01,3.180054880896841851e+01,3.128132454851273891e+01,2.451159651039119325e+01
2.119478646865563931e+01,2.663894692740117875e+01,3.422779531463861247e+01,3.233503594071540732e+01,3.139507239822572515e+01,3.083809415473698223e+01,2.090171711103522512e+01
2.138923405093688501e+01,2.113798679669260139e+01,2.806730689644163945e+01,3.079781219968778316e+01,3.098867330836078438e+01,3.001713066727618440e+01,2.039019350854297841e+01
2.158368163321812716e+01,1.638796724617448319e+01,2.486214075244179611e+01,3.037524512145174782e+01,3.049145252688160213e+01,2.973523979960943109e+01,2.095696180383310647e+01
2.177812921549937286e+01,2.399467633981326031e+01,2.668110418662827144e+01,2.233253415276148246e+01,2.003739865926685582e+01,2.012816529051383441e+01,1.504866038907632930e+00
2.197257679778061856e+01,2.401314723509918991e+01,3.223586573748433182e+01,3.722479184353137782e+01,3.709476870666374992e+01,3.647572316473499399e+01,2.454167046662754359e+01
2.216702438006186071e+01,3.565374839900514559e+01,4.001101419165210871e+01,4.296155703563964323e+01,4.244303453509396462e+01,4.200397165123811760e+01,2.639580979402461480e+01
2.236147196234310641e+01,3.521900043397359781e+01,3.948905620575894204e+01,4.465558673895155550e+01,4.444721653488375779e+01,4.390946216493647114e+01,2.790921947852803342e+01
2.255591954462434856e+01,3.384484421649557362e+01,3.625456272427113191e+01,4.226873618525531384e+01,4.205580921556684615e+01,4.161011252083001466e+01,2.544283314327018530e+01
2.275036712690559426e+01,2.907776661651463712e+01,2.924320488314177169e+01,3.267248960900871424e+01,3.201607791977222206e+01,3.186887100395658479e+01,1.250503040317243730e+01
2.294481470918683996e+01,3.502553179142664419e+01,3.439817565053208170e+01,3.946215726947922064e+01,3.897389950365970179e+01,3.877257639691799085e+01,1.788024848451282267e+01
2.313926229146808211e+01,3.582444348083923558e+01,3.373278175358467479e+01,4.201407380418241644e+01,4.189490162506671567e+01,4.157034816322648396e+01,2.589856937410779736e+01
2.333370987374932781e+01,3.367204903474637945e+01,3.091266347998464781e+01,4.072760110890681062e+01,4.077949206901880785e+01,4.048124523770486860e+01,2.614251133000254157e+01
