freq_hz,R1_dB,R2_dB,R3_dB,R4_dB,R5_dB,R6_dB
2.994492767131163546e+01,4.513566892897319605e+01,4.359130168119867932e+01,5.657778483940010261e+01,5.571739264154035709e+01,5.438669377645219072e+01,5.276628215504619845e+01
3.013937525359288117e+01,4.564207952929230316e+01,4.305405726503325070e+01,5.670453793739467585e+01,5.584483776357775042e+01,5.456122077603308185e+01,5.329369546152453552e+01
3.033382283587412687e+01,4.449735976279213645e+01,4.125421547355881557e+01,5.506901777218284622e+01,5.416679714668777734e+01,5.292713887086194546e+01,5.214093845153101370e+01
3.052827041815536901e+01,4.607901819923966258e+01,4.220173924758170614e+01,5.714585655786366658e+01,5.625818275931518997e+01,5.502966736399078229e+01,5.467587513835766799e+01
3.072271800043661472e+01,4.569943343612267483e+01,4.047788793360483339e+01,5.754904329666332785e+01,5.673476253823472604e+01,5.550823193614586870e+01,5.552818523337190015e+01
3.091716558271786042e+01,4.242441978496199795e+01,3.643283401113205855e+01,5.346183328260393353e+01,5.263881251219453361e+01,5.145514155868010420e+01,5.198012534879630664e+01
3.111161316499910257e+01,3.255287696368475991e+01,2.743713785630279034e+01,4.147734353408681329e+01,4.046813546451032551e+01,3.938886302128680228e+01,4.070328466515085353e+01
3.130606074728034827e+01,3.876922207848301838e+01,3.225537265101433348e+01,4.967791793604057204e+01,4.877182059593158669e+01,4.765061234267591317e+01,4.937146112052960234e+01
3.150050832956159397e+01,3.869608409184998266e+01,2.906749136210560991e+01,5.103751691416857028e+01,5.027773216037023474e+01,4.912258258554007284e+01,5.119519178260180325e+01
3.169495591184283612e+01,3.739630689826294940e+01,2.870084137545871528e+01,4.795537059861943874e+01,4.725146869322078658e+01,4.612316813298440366e+01,4.864361141704882385e+01
